transaction_id,amount,historical_avg,amount_ratio,device_changed,location_changed,unusual_hour,velocity_1h,payment_method_changed,is_fraud
MLTXN0001,14827,1412,10.5,1,1,1,7,0,1
MLTXN0002,27193,3956,6.87,1,1,1,8,1,1
MLTXN0003,10287,4964,2.07,0,0,0,1,0,0
MLTXN0004,67024,2776,24.14,1,0,0,5,1,1
MLTXN0005,2032,855,2.38,1,0,0,2,0,0
MLTXN0006,10268,3462,2.97,0,0,0,1,0,0
MLTXN0007,2769,1327,2.09,0,0,0,1,0,0
MLTXN0008,1191,1084,1.1,0,0,0,3,0,0
MLTXN0009,7932,2299,3.45,0,0,0,1,0,0
MLTXN0010,5537,2228,2.49,0,0,0,2,0,0
MLTXN0011,2277,1670,1.36,0,0,0,2,0,0
MLTXN0012,2260,2296,0.98,0,0,0,1,0,0
MLTXN0013,7309,3958,1.85,0,0,0,1,1,0
MLTXN0014,3422,1438,2.38,0,0,0,1,0,0
MLTXN0015,8414,2657,3.17,0,0,0,2,0,0
MLTXN0016,43113,2129,20.25,1,1,1,3,1,1
MLTXN0017,106166,4502,23.58,1,1,1,3,0,1
MLTXN0018,16854,1145,14.72,0,1,1,4,1,1
MLTXN0019,6581,1852,3.55,0,0,0,1,0,0
MLTXN0020,8704,3053,2.85,0,0,0,1,0,0
MLTXN0021,877,672,1.31,0,0,0,1,1,0
MLTXN0022,31291,3206,9.76,1,0,0,7,1,1
MLTXN0023,8282,2490,3.33,0,0,0,1,0,0
MLTXN0024,3720,943,3.94,0,0,0,2,0,0
MLTXN0025,2039,2058,0.99,0,0,0,1,0,0
MLTXN0026,32531,1302,24.99,1,1,1,4,0,1
MLTXN0027,15791,4478,3.53,1,0,0,1,1,0
MLTXN0028,12419,4227,2.94,0,0,0,1,0,0
MLTXN0029,5769,2283,2.53,0,0,0,1,0,0
MLTXN0030,117446,4850,24.22,0,0,1,8,1,1
MLTXN0031,86821,3807,22.81,1,1,1,6,1,1
MLTXN0032,6755,4782,1.41,0,0,0,1,0,0
MLTXN0033,13293,4245,3.13,0,0,1,3,0,0
MLTXN0034,2164,2246,0.96,0,0,0,1,0,0
MLTXN0035,13072,4950,2.64,1,0,0,2,0,0
MLTXN0036,1308,1348,0.97,0,0,0,1,0,0
MLTXN0037,8997,3308,2.72,0,0,0,2,0,0
MLTXN0038,2597,3969,0.65,0,0,1,1,0,0
MLTXN0039,3569,4003,0.89,1,0,0,1,0,0
MLTXN0040,1107,1713,0.65,0,1,1,1,0,0
MLTXN0041,4421,2544,1.74,0,0,1,1,1,0
MLTXN0042,9553,2439,3.92,0,0,0,1,0,0
MLTXN0043,13646,3872,3.52,0,0,0,1,1,0
MLTXN0044,14624,4355,3.36,0,0,0,1,0,0
MLTXN0045,3071,2082,1.48,0,0,0,1,0,0
MLTXN0046,2919,4892,0.6,0,0,0,3,0,0
MLTXN0047,13202,4059,3.25,0,1,0,2,0,0
MLTXN0048,437,863,0.51,1,0,0,1,0,0
MLTXN0049,13309,3483,3.82,1,0,0,1,1,0
MLTXN0050,8979,4654,1.93,0,0,0,1,1,0
MLTXN0051,2990,1925,1.55,0,0,0,1,0,0
MLTXN0052,6427,3139,2.05,0,0,0,1,0,0
MLTXN0053,3371,1194,2.82,0,0,1,1,0,0
MLTXN0054,12625,2131,5.92,1,1,1,6,1,1
MLTXN0055,3857,2092,1.84,0,0,0,2,1,0
MLTXN0056,1738,1373,1.27,0,0,0,1,1,0
MLTXN0057,4938,1494,3.3,0,1,0,3,1,0
MLTXN0058,17029,4635,3.67,0,0,0,1,0,0
MLTXN0059,6441,2771,2.32,0,0,0,1,0,0
MLTXN0060,2439,3119,0.78,0,0,0,1,0,0
MLTXN0061,6276,3210,1.96,0,0,0,1,0,0
MLTXN0062,13739,3616,3.8,0,0,0,2,0,0
MLTXN0063,18113,4973,3.64,0,0,0,1,0,0
MLTXN0064,13120,3812,3.44,1,1,0,2,0,0
MLTXN0065,9799,722,13.57,1,0,0,5,0,1
MLTXN0066,11370,3177,3.58,0,1,0,2,0,0
MLTXN0067,118221,4918,24.04,1,0,1,3,1,1
MLTXN0068,13654,2525,5.41,0,0,1,7,1,1
MLTXN0069,13720,4309,3.18,0,0,0,1,0,0
MLTXN0070,16805,3048,5.51,1,1,1,6,1,1
MLTXN0071,39957,2124,18.81,1,0,1,8,1,1
MLTXN0072,3699,1491,2.48,0,0,0,1,0,0
MLTXN0073,2037,603,3.38,0,1,0,2,0,0
MLTXN0074,62774,4067,15.43,1,1,1,6,1,1
MLTXN0075,3667,2698,1.36,1,0,0,1,0,0
MLTXN0076,8037,3604,2.23,0,0,0,1,0,0
MLTXN0077,6378,2763,2.31,0,0,0,1,0,0
MLTXN0078,9759,4400,2.22,0,0,0,1,0,0
MLTXN0079,8308,3523,2.36,0,0,0,1,0,0
MLTXN0080,7740,2559,3.02,0,0,1,1,0,0
MLTXN0081,11449,4466,2.56,0,0,1,2,0,0
MLTXN0082,18258,3456,5.28,1,0,1,7,0,1
MLTXN0083,4809,1534,3.13,0,0,0,1,0,0
MLTXN0084,3235,920,3.52,0,0,0,1,0,0
MLTXN0085,28319,1742,16.26,1,1,0,6,1,1
